,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,x,,,,,,x,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,x,x,x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,x,,,
,,,,,,,,,,,,,,,,,,,,,,,#,x,H,x,H,x,x,H,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,x,,,
,,,,,,,,,,,,,,,,,,,,,,,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,x,x,x,w,w,w,x,H,x,H,x,x,x,x,x,x,x,,,x,,,
,,,,,,,,,,,,,,,,,,,,,,,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,,,x,,,,x,,,,x,s,,x,,,x,,,x,,,
,,,,,,,,,,,,,,,,,,,,,,,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,,,x,,,,x,,,,x,,,x,,,x,,,x,,,
,,,,,,,,,,,,,,,,,,,,,,,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,,,x,,,,x,_,,,x,_,,x,,,x,,,x,,,
,,,,,,,,,,,,,,,,,,,,,,,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,,,x,,,,,,,,,,,h,x,x,x,,,x,,,
,,,,,,,,,,,,,,,,,,,,,,,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,,_,x,,,,,,_,,,_,,x,,,x,,,x,,,
,,,,,,,,,,,,,,,,,,,,,,,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,x,,,,,,,,,,,x,,,x,,,x,,,
,,,,,,,,,,,,,,,,,,,,,,,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,x,,,,,_,,,,_,,x,,,h,,,x,,,
,,,,,,,,,,,,,,,,,,,,,,,#,_,_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_,x,,,,,,,,,,,x,,,x,,,x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,x,,,x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,_,_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,,x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,h,,h,,x,,,x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,_,_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,h,,,x,,x,,x,,,x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,H,x,H,x,x,H,x,x,x,,,,,x,w,w,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,h,,h,,x,,,x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,#,,,,x,,,,,,,,,,,x,,,,,x,,,h,,,,,,,s,,,x,,,,,x,,,x,x,x,,x,,,x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,,,,x,,,,,,,,,,,x,,,,,x,,,x,,,,,,,,,,x,,,,,x,,,,,,,h,,,x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,,,,x,,,,,,,,,,,x,,,,,x,,,h,,,,,,,,,,x,,,_,_,h,,,,,,,x,,,x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,,,,x,,,,,,,,,,s,x,,,,,x,,,x,,,,,,,,,,x,,,,,x,,,,,,,x,,,x,,,
